
--- EPHEMERIDES REPORT ---
Generated on: 2026-04-21 10:06:33
Start Date: 1000-06-21
End Date: 2000-06-21
Step Size: 10 years
--------------------------------------

PLANET: MERCURY
Date         | Time       | RA           | Dec          | Dist         | Elongation
1060-06-21   | 00:00:00   | 06h29m05s    | 23°58'21"    | 0.02 AU      | 6.816°
1070-06-21   | 00:00:00   | 08h52m34s    | 19°18'58"    | 0.01 AU      | 40.786°
1080-06-21   | 00:00:00   | 03h19m14s    | 15°11'20"    | 0.00 AU      | 38.692°
1090-06-21   | 00:00:00   | 03h59m53s    | 19°25'09"    | 0.01 AU      | 27.789°
1100-06-21   | 00:00:00   | 06h38m20s    | 23°57'53"    | 0.02 AU      | 9.596°
1110-06-21   | 00:00:00   | 08h56m29s    | 19°03'06"    | 0.01 AU      | 42.417°
1120-06-21   | 00:00:00   | 02h59m04s    | 13°57'24"    | 0.01 AU      | 43.034°
1130-06-21   | 00:00:00   | 04h07m45s    | 19°55'43"    | 0.02 AU      | 25.195°
1140-06-21   | 00:00:00   | 06h52m53s    | 23°50'16"    | 0.02 AU      | 12.633°
1150-06-21   | 00:00:00   | 09h03m20s    | 18°30'52"    | 0.01 AU      | 43.835°
1160-06-21   | 00:00:00   | 02h50m40s    | 13°27'46"    | 0.01 AU      | 45.411°
1170-06-21   | 00:00:00   | 04h21m01s    | 20°39'35"    | 0.02 AU      | 22.289°
1180-06-21   | 00:00:00   | 07h07m17s    | 23°37'24"    | 0.02 AU      | 15.647°
1190-06-21   | 00:00:00   | 09h07m55s    | 18°04'50"    | 0.01 AU      | 44.710°
1200-06-21   | 00:00:00   | 02h48m34s    | 13°27'00"    | 0.01 AU      | 46.182°
1210-06-21   | 00:00:00   | 04h34m36s    | 21°19'57"    | 0.02 AU      | 19.337°
1220-06-21   | 00:00:00   | 07h21m29s    | 23°19'28"    | 0.02 AU      | 18.630°
1230-06-21   | 00:00:00   | 09h09m18s    | 17°48'50"    | 0.01 AU      | 44.810°
1240-06-21   | 00:00:00   | 02h50m37s    | 13°45'30"    | 0.01 AU      | 45.898°
1250-06-21   | 00:00:00   | 04h48m28s    | 21°56'21"    | 0.02 AU      | 16.347°
1260-06-21   | 00:00:00   | 07h35m27s    | 22°56'44"    | 0.02 AU      | 21.573°
1270-06-21   | 00:00:00   | 09h05m58s    | 17°48'13"    | 0.01 AU      | 43.763°
1280-06-21   | 00:00:00   | 02h55m30s    | 14°16'42"    | 0.01 AU      | 44.895°
1290-06-21   | 00:00:00   | 05h02m35s    | 22°28'24"    | 0.02 AU      | 13.327°
1300-06-21   | 00:00:00   | 07h43m55s    | 22°41'59"    | 0.02 AU      | 24.212°
1310-06-21   | 00:00:00   | 08h52m58s    | 18°27'10"    | 0.00 AU      | 41.281°
1320-06-21   | 00:00:00   | 02h57m59s    | 14°37'07"    | 0.01 AU      | 43.544°
1330-06-21   | 00:00:00   | 05h11m34s    | 22°48'00"    | 0.02 AU      | 10.558°
1340-06-21   | 00:00:00   | 07h57m17s    | 22°12'25"    | 0.01 AU      | 27.050°
1350-06-21   | 00:00:00   | 08h32m10s    | 19°15'02"    | 0.00 AU      | 36.027°
1360-06-21   | 00:00:00   | 03h06m17s    | 15°21'46"    | 0.01 AU      | 41.696°
1370-06-21   | 00:00:00   | 05h26m00s    | 23°12'14"    | 0.02 AU      | 7.503°
1380-06-21   | 00:00:00   | 08h10m14s    | 21°39'10"    | 0.01 AU      | 29.814°
1390-06-21   | 00:00:00   | 07h54m17s    | 20°28'30"    | 0.00 AU      | 26.780°
1400-06-21   | 00:00:00   | 03h11m06s    | 15°50'31"    | 0.01 AU      | 39.773°
1410-06-21   | 00:00:00   | 05h35m12s    | 23°26'38"    | 0.02 AU      | 4.712°
1420-06-21   | 00:00:00   | 08h17m41s    | 21°19'26"    | 0.01 AU      | 32.250°
1430-06-21   | 00:00:00   | 06h55m56s    | 21°40'04"    | 0.00 AU      | 13.859°
1440-06-21   | 00:00:00   | 03h21m25s    | 16°40'32"    | 0.01 AU      | 37.449°
1450-06-21   | 00:00:00   | 05h49m50s    | 23°42'24"    | 0.02 AU      | 1.664°
1460-06-21   | 00:00:00   | 08h29m37s    | 20°42'05"    | 0.01 AU      | 34.814°
1470-06-21   | 00:00:00   | 05h40m28s    | 21°12'33"    | 0.00 AU      | 4.549°
1480-06-21   | 00:00:00   | 03h32m30s    | 17°31'02"    | 0.01 AU      | 34.959°
1490-06-21   | 00:00:00   | 06h04m31s    | 23°52'47"    | 0.02 AU      | 1.502°
